department,service_request_type,status,closure_reason,local_area,channel,open_dt,close_dt,open_year,open_month,open_month_name,open_day_of_week,closure_days,is_closed
Eng - Sanitation Services,Abandoned Mattress Case,Close,Service Provided,Victoria-Fraserview,Mobile App,2022-09-07 18:01:30-07:00,2022-10-06,2022,9,Sep,Wednesday,28.0,True
Dbl - Property Use Inspections,Private Property Concern Case,Close,Alternate Service Required,Killarney,Phone,2022-09-07 18:15:10-07:00,2022-09-13,2022,9,Sep,Wednesday,5.0,True
Pr - Urban Forestry,City And Park Trees Maintenance Case,Close,Further Action Has Been Planned,Mount Pleasant,Phone,2022-09-07 18:16:00-07:00,2022-09-13,2022,9,Sep,Wednesday,5.0,True
Dbl - Services Centre,Building And Development Inquiry Case,Close,Service Provided,Hastings-Sunrise,Web,2022-11-10 13:50:00-08:00,2022-11-14,2022,11,Nov,Thursday,3.0,True
Dbl - Building And Trades Inspections Clerks,Private Property Construction Concern Case,Close,Assigned To Inspector,Victoria-Fraserview,Phone,2022-11-10 13:55:29-08:00,2022-11-10,2022,11,Nov,Thursday,-1.0,True
Eng - Sanitation Services,Green Bin Request Case,Close,Service Provided,Renfrew-Collingwood,Phone,2022-11-10 13:57:17-08:00,2022-12-01,2022,11,Nov,Thursday,20.0,True
311 Contact Centre,General Feedback Case,Close,Referred To Another Service Group,,Web,2022-11-10 14:00:08-08:00,2022-11-10,2022,11,Nov,Thursday,-1.0,True
Eng - Solid Waste Programs,Residential Cart Concern Case,Close,Service Provided,Kerrisdale,Phone,2022-11-10 14:04:24-08:00,2022-11-15,2022,11,Nov,Thursday,4.0,True
Dbl - Services Centre,Building And Development Inquiry Case,Close,Service Provided,West End,Web,2022-11-10 14:21:00-08:00,2022-11-16,2022,11,Nov,Thursday,5.0,True
Dbl - Licence Office,Business Licence Request Case,Close,Service Provided,,Web,2022-11-10 14:28:00-08:00,2022-11-10,2022,11,Nov,Thursday,-1.0,True
Eng - Solid Waste Programs,Commercial Waste Container Concern Case,Close,Reviewed And No Action Planned,Kerrisdale,Phone,2022-11-10 14:38:28-08:00,2022-11-14,2022,11,Nov,Thursday,3.0,True
Dbl - Building And Trades Inspections Clerks,Private Property Construction Concern Case,Close,Assigned To Inspector,Riley Park,Mobile App,2022-11-10 14:39:18-08:00,2022-11-10,2022,11,Nov,Thursday,-1.0,True
Eng - Sanitation Services,Missed Green Bin Pickup Case,Close,Reviewed And No Action Planned,Victoria-Fraserview,Web,2022-11-10 14:45:35-08:00,2022-11-14,2022,11,Nov,Thursday,3.0,True
Dbl - Property Use Inspections,Private Property Concern Case,Close,Assigned To Inspector,Downtown,Web,2022-11-10 14:51:00-08:00,2022-11-10,2022,11,Nov,Thursday,-1.0,True
Eng - Sanitation Services,Green Bin Request Case,Close,Service Provided,Kerrisdale,Web,2022-11-10 14:53:01-08:00,2022-11-16,2022,11,Nov,Thursday,5.0,True
Dbl - Services Centre,Building And Development Inquiry Case,Close,Service Provided,Killarney,Web,2022-11-10 15:01:00-08:00,2022-11-16,2022,11,Nov,Thursday,5.0,True
Eng - Streets Operations,Street Surface Water Flooding Case,Close,Service Provided,Marpole,Phone,2022-11-10 15:03:56-08:00,2022-11-16,2022,11,Nov,Thursday,5.0,True
Eng - Streets Operations,General Street Issues Case,Close,Referred To Another Service Group,Grandview-Woodland,Phone,2022-11-10 15:09:25-08:00,2022-11-14,2022,11,Nov,Thursday,3.0,True
Eng - Sanitation Services,Missed Garbage Bin Pickup Case,Close,Service Provided,Mount Pleasant,Phone,2022-11-10 15:12:00-08:00,2022-11-17,2022,11,Nov,Thursday,6.0,True
Eng - Sanitation Services,Abandoned Non-Recyclables-Small Case,Close,Service Provided,Hastings-Sunrise,Mobile App,2022-11-10 15:13:10-08:00,2022-11-17,2022,11,Nov,Thursday,6.0,True
Vfrs - Community Safety And Risk Reduction,Hoarding Request Case,Close,Assigned To Inspector,Kensington-Cedar Cottage,Web,2022-11-10 15:17:11-08:00,2022-11-14,2022,11,Nov,Thursday,3.0,True
Eng - Sanitation Services,Missed Garbage Bin Pickup Case,Close,Service Provided,Kitsilano,Web,2022-11-10 15:17:13-08:00,2022-11-15,2022,11,Nov,Thursday,4.0,True
Eng - Sanitation Services,Green Bin Request Case,Close,Service Provided,Kerrisdale,Web,2022-11-10 15:25:37-08:00,2022-11-16,2022,11,Nov,Thursday,5.0,True
311 Contact Centre,Employee Feedback Case,Close,Referred To Another Service Group,Downtown,Phone,2022-11-10 15:28:47-08:00,2022-11-10,2022,11,Nov,Thursday,-1.0,True
Pr - Park Rangers,Urban Issues In Parks Case,Close,Unknown,Kensington-Cedar Cottage,Web,2022-11-10 15:30:10-08:00,2022-11-13,2022,11,Nov,Thursday,2.0,True
Eng - Sanitation Services,Green Bin Request Case,Close,Service Provided,Kensington-Cedar Cottage,Phone,2022-11-10 15:33:38-08:00,2022-11-16,2022,11,Nov,Thursday,5.0,True
Dbl - Licence Office,Business Licence Request Case,Close,Service Provided,,Web,2022-11-10 15:38:00-08:00,2022-11-15,2022,11,Nov,Thursday,4.0,True
Eng - Sanitation Services,Garbage Bin Request Case,Close,Reviewed And No Action Planned,Kensington-Cedar Cottage,Phone,2022-11-10 15:38:34-08:00,2022-11-28,2022,11,Nov,Thursday,17.0,True
Dbl - Services Centre,Building And Development Inquiry Case,Close,Service Provided,Grandview-Woodland,Web,2022-11-10 15:40:00-08:00,2022-11-15,2022,11,Nov,Thursday,4.0,True
Eng - Sanitation Services,Abandoned Non-Recyclables-Small Case,Close,Service Provided,Oakridge,Mobile App,2022-11-10 15:44:39-08:00,2022-11-15,2022,11,Nov,Thursday,4.0,True
Dbl - Licence Office,Business Licence Request Case,Close,Service Provided,,Web,2022-11-10 15:46:00-08:00,2022-11-16,2022,11,Nov,Thursday,5.0,True
Eng - Sanitation Services,Missed Green Bin Pickup Case,Close,Service Provided,West Point Grey,Web,2022-11-10 15:46:56-08:00,2022-11-14,2022,11,Nov,Thursday,3.0,True
311 Contact Centre,City Services Feedback Case,Close,Service Provided,Dunbar-Southlands,Phone,2022-11-10 15:54:51-08:00,2022-11-16,2022,11,Nov,Thursday,5.0,True
Eng - Parking Enforcement And Operations,Meter Out Of Order Internal Audit Case,Close,Closed Automatically And Sent To Service Group,Oakridge,Web,2022-11-10 16:02:00-08:00,2022-11-10,2022,11,Nov,Thursday,-1.0,True
Eng - Sanitation Services,Missed Green Bin Pickup Case,Close,Service Provided,Arbutus Ridge,Web,2022-11-10 16:05:34-08:00,2022-11-14,2022,11,Nov,Thursday,3.0,True
Eng - Parking Enforcement And Operations,Parking Enforcement Transfer Case,Close,Unknown,,Phone,2022-11-10 16:11:54-08:00,2022-11-10,2022,11,Nov,Thursday,-1.0,True
Eng - Film And Special Events Office,Special Events Inquiry Case,Close,Service Provided,Kensington-Cedar Cottage,Web,2022-11-10 16:14:16-08:00,2022-11-11,2022,11,Nov,Thursday,0.0,True
Dbl - Animal Services,Dog Licence Case,Close,Service Provided,Sunset,Phone,2022-11-10 16:19:54-08:00,2022-11-10,2022,11,Nov,Thursday,-1.0,True
Dbl - Animal Services,Dog Licence Case,Close,Service Provided,Grandview-Woodland,Phone,2022-11-10 16:20:23-08:00,2022-11-10,2022,11,Nov,Thursday,-1.0,True
Eng - Sewer Operations,Sewer Construction Concern Case,Close,Service Provided,Grandview-Woodland,Phone,2022-11-10 16:24:43-08:00,2022-11-14,2022,11,Nov,Thursday,3.0,True
Eng - Sanitation Services,Missed Garbage Bin Pickup Case,Close,Reviewed And No Action Planned,Kensington-Cedar Cottage,Phone,2022-11-10 16:30:00-08:00,2022-11-15,2022,11,Nov,Thursday,4.0,True
Eng - Sanitation Services,Park Litter Can Case,Close,Unknown,Dunbar-Southlands,Phone,2022-11-10 16:34:05-08:00,2022-11-14,2022,11,Nov,Thursday,3.0,True
Eng - Sanitation Services,Missed Green Bin Pickup Case,Close,Service Provided,Kitsilano,Web,2022-11-10 16:37:01-08:00,2022-11-14,2022,11,Nov,Thursday,3.0,True
Eng - Sanitation Services,Missed Green Bin Pickup Case,Close,Service Provided,Kitsilano,Phone,2022-11-10 16:38:00-08:00,2022-11-14,2022,11,Nov,Thursday,3.0,True
Eng - Parking Enforcement And Operations,Meter Out Of Order Internal Audit Case,Close,Closed Automatically And Sent To Service Group,Strathcona,Web,2022-11-10 16:41:00-08:00,2022-11-10,2022,11,Nov,Thursday,-1.0,True
Eng - Sanitation Services,Green Bin Request Case,Close,Service Provided,Hastings-Sunrise,Phone,2022-11-10 16:43:48-08:00,2022-11-16,2022,11,Nov,Thursday,5.0,True
Eng - Sanitation Services,Missed Green Bin Pickup Case,Close,Service Provided,Kitsilano,Web,2022-11-10 16:49:05-08:00,2022-11-14,2022,11,Nov,Thursday,3.0,True
Eng - Sanitation Services,Missed Green Bin Pickup Case,Close,Service Provided,Renfrew-Collingwood,Phone,2022-11-10 16:50:00-08:00,2022-11-17,2022,11,Nov,Thursday,6.0,True
Eng - Traffic And Data Management,City Construction Project Concern Case,Close,Service Provided,Renfrew-Collingwood,Phone,2022-11-10 16:54:54-08:00,2022-11-22,2022,11,Nov,Thursday,11.0,True
Eng - Parking Enforcement And Operations,Parking Enforcement Transfer Case,Close,Unknown,,Phone,2022-11-10 16:55:31-08:00,2022-11-10,2022,11,Nov,Thursday,-1.0,True
Eng - Parking Enforcement And Operations,Meter Out Of Order Internal Audit Case,Close,Closed Automatically And Sent To Service Group,Downtown,Web,2022-11-10 16:58:00-08:00,2022-11-10,2022,11,Nov,Thursday,-1.0,True
Eng - Streets Operations,Vegetation Encroachment Of City Property Case,Close,Unknown,Shaughnessy,Phone,2022-11-10 17:04:00-08:00,2022-11-16,2022,11,Nov,Thursday,5.0,True
Dbl - Licence Office,Business Licence Request Case,Close,Insufficient Info,,Web,2022-11-10 17:04:00-08:00,2022-11-14,2022,11,Nov,Thursday,3.0,True
Dbl - Services Centre,Building And Development Inquiry Case,Close,Service Provided,,Web,2022-11-10 17:13:00-08:00,2022-11-18,2022,11,Nov,Thursday,7.0,True
Eng - Sanitation Services,Missed Green Bin Pickup Case,Close,Service Provided,Arbutus Ridge,Web,2022-11-10 17:24:12-08:00,2022-11-14,2022,11,Nov,Thursday,3.0,True
Eng - Streets Operations,General Street Issues Case,Close,Unknown,Sunset,Phone,2022-11-10 17:26:14-08:00,2022-11-18,2022,11,Nov,Thursday,7.0,True
Dbl - Animal Services,Animal Concern Case,Close,Dispatched To Crew,Shaughnessy,Phone,2022-11-10 17:30:38-08:00,2022-11-10,2022,11,Nov,Thursday,-1.0,True
Eng - Sanitation Services,Missed Garbage Bin Pickup Case,Close,Service Provided,Grandview-Woodland,Web,2022-11-10 17:38:25-08:00,2022-11-15,2022,11,Nov,Thursday,4.0,True
Eng - Sanitation Services,Missed Green Bin Pickup Case,Close,Service Provided,West Point Grey,Web,2022-11-10 17:41:41-08:00,2022-11-14,2022,11,Nov,Thursday,3.0,True
Dbl - Services Centre,Building And Development Inquiry Case,Close,Service Provided,Fairview,Web,2022-11-10 17:52:00-08:00,2022-11-17,2022,11,Nov,Thursday,6.0,True
Dbl - Animal Services,Animal Concern Case,Close,Dispatched To Crew,Hastings-Sunrise,Phone,2022-11-10 17:56:53-08:00,2022-11-10,2022,11,Nov,Thursday,-1.0,True
Eng - Sanitation Services,Missed Green Bin Pickup Case,Close,Service Provided,Dunbar-Southlands,Web,2022-11-10 18:02:19-08:00,2022-11-14,2022,11,Nov,Thursday,3.0,True
Eng - Sanitation Services,Missed Green Bin Pickup Case,Close,Service Provided,Kerrisdale,Web,2022-11-10 18:05:59-08:00,2022-11-14,2022,11,Nov,Thursday,3.0,True
Eng - Sanitation Services,Missed Green Bin Pickup Case,Close,Service Provided,Dunbar-Southlands,Web,2022-11-10 18:12:57-08:00,2022-11-14,2022,11,Nov,Thursday,3.0,True
Pr - Corporate Services,Park Board Commissioner Feedback Case,Close,Service Provided,,Web,2022-11-10 18:23:00-08:00,2022-11-14,2022,11,Nov,Thursday,3.0,True
Eng - Sanitation Services,Missed Green Bin Pickup Case,Close,Service Provided,Hastings-Sunrise,Web,2022-11-10 18:43:16-08:00,2022-11-17,2022,11,Nov,Thursday,6.0,True
Eng - Parking Enforcement And Operations,Meter Out Of Order Internal Audit Case,Close,Closed Automatically And Sent To Service Group,Oakridge,Web,2022-11-10 18:43:00-08:00,2022-11-10,2022,11,Nov,Thursday,-1.0,True
Eng - Sanitation Services,Missed Green Bin Pickup Case,Close,Service Provided,Kerrisdale,Phone,2022-11-10 18:45:00-08:00,2022-11-14,2022,11,Nov,Thursday,3.0,True
Eng - Sanitation Services,Missed Green Bin Pickup Case,Close,Service Provided,Kerrisdale,Web,2022-11-10 18:58:40-08:00,2022-11-14,2022,11,Nov,Thursday,3.0,True
Eng - Sanitation Services,Missed Green Bin Pickup Case,Close,Service Provided,Dunbar-Southlands,Web,2022-11-10 19:03:14-08:00,2022-11-14,2022,11,Nov,Thursday,3.0,True
Eng - Sanitation Services,Missed Green Bin Pickup Case,Close,Service Provided,Dunbar-Southlands,Web,2022-11-10 19:12:50-08:00,2022-11-14,2022,11,Nov,Thursday,3.0,True
Eng - Sanitation Services,Missed Green Bin Pickup Case,Close,Service Provided,Kitsilano,Web,2022-11-10 19:36:39-08:00,2022-11-14,2022,11,Nov,Thursday,3.0,True
Dbl - Animal Services,Animal Concern Case,Close,Dispatched To Crew,Fairview,Phone,2022-11-10 19:46:23-08:00,2022-11-12,2022,11,Nov,Thursday,1.0,True
Eng - Sanitation Services,Missed Green Bin Pickup Case,Close,Service Provided,Marpole,Web,2022-11-10 19:54:06-08:00,2022-11-14,2022,11,Nov,Thursday,3.0,True
Eng - Sewer Operations,Catch Basin Concern Case,Close,Service Provided,Hastings-Sunrise,Phone,2022-11-10 20:07:40-08:00,2022-11-18,2022,11,Nov,Thursday,7.0,True
Eng - Sanitation Services,Missed Green Bin Pickup Case,Close,Service Provided,Dunbar-Southlands,Web,2022-11-10 20:12:39-08:00,2022-11-14,2022,11,Nov,Thursday,3.0,True
Eng - Sanitation Services,Missed Green Bin Pickup Case,Close,Reviewed And No Action Planned,Dunbar-Southlands,Web,2022-11-10 20:23:39-08:00,2022-11-17,2022,11,Nov,Thursday,6.0,True
Eng - Sanitation Services,Missed Green Bin Pickup Case,Close,Service Provided,Renfrew-Collingwood,Web,2022-11-10 20:23:41-08:00,2022-11-17,2022,11,Nov,Thursday,6.0,True
Eng - Sanitation Services,Missed Green Bin Pickup Case,Close,Service Provided,Kerrisdale,Web,2022-11-10 20:28:37-08:00,2022-11-14,2022,11,Nov,Thursday,3.0,True
Pr - Urban Forestry,Rats And Rodents Case,Close,Service Provided,Hastings-Sunrise,Phone,2022-11-10 20:29:00-08:00,2022-11-18,2022,11,Nov,Thursday,7.0,True
Eng - Streets Operations,Bridge And Structures Maintenance Case,Close,Further Action Has Been Planned,Fairview,Phone,2022-11-09 09:54:00-08:00,2022-11-15,2022,11,Nov,Wednesday,5.0,True
Dbl - Services Centre,Building And Development Inquiry Case,Close,Service Provided,Mount Pleasant,Web,2022-11-09 09:59:00-08:00,2022-11-10,2022,11,Nov,Wednesday,0.0,True
Eng - Parking Enforcement And Operations,Meter Out Of Order Internal Audit Case,Close,Closed Automatically And Sent To Service Group,Oakridge,Web,2022-11-09 09:59:00-08:00,2022-11-09,2022,11,Nov,Wednesday,-1.0,True
Eng - Sanitation Services,Abandoned Non-Recyclables-Small Case,Close,Issue Not Found Or Inaccessible,Mount Pleasant,Phone,2022-11-09 10:02:11-08:00,2022-11-14,2022,11,Nov,Wednesday,4.0,True
Eng - Traffic And Data Management,Traffic And Pedestrian Signal -Modify Request Case,Close,Reviewed And No Action Planned,Mount Pleasant,Phone,2022-11-09 10:04:09-08:00,2022-11-10,2022,11,Nov,Wednesday,0.0,True
Dbl - Property Use Inspections,Private Property Inquiry Case,Close,Assigned To Inspector,Fairview,Web,2022-11-09 10:05:53-08:00,2022-11-09,2022,11,Nov,Wednesday,-1.0,True
311 Contact Centre,General Feedback Case,Close,Referred To Another Service Group,,Web,2022-11-09 10:06:01-08:00,2022-11-09,2022,11,Nov,Wednesday,-1.0,True
Dbl - Animal Services,Feeding Wildlife Case,Close,Dispatched To Crew,Killarney,Web,2022-11-09 10:18:19-08:00,2022-11-09,2022,11,Nov,Wednesday,-1.0,True
Eng - Sanitation Services,Missed Green Bin Pickup Case,Close,Service Provided,Hastings-Sunrise,Phone,2022-11-09 10:18:00-08:00,2022-11-10,2022,11,Nov,Wednesday,0.0,True
Eng - Streets Operations,Boulevard Maintenance Case,Close,Unknown,Victoria-Fraserview,Phone,2022-11-09 10:23:25-08:00,2022-11-21,2022,11,Nov,Wednesday,11.0,True
Eng - Sanitation Services,Abandoned Non-Recyclables-Small Case,Close,Reviewed And No Action Planned,Grandview-Woodland,Web,2022-11-09 10:23:00-08:00,2022-11-14,2022,11,Nov,Wednesday,4.0,True
Cmo - Business And Election Services,Mayor And Council Feedback Case,Close,Service Provided,,Web,2022-11-09 10:30:22-08:00,2022-11-16,2022,11,Nov,Wednesday,6.0,True
Dbl - Licence Office,Business Licence Request Case,Close,Service Provided,Renfrew-Collingwood,Phone,2022-11-09 10:33:05-08:00,2022-11-10,2022,11,Nov,Wednesday,0.0,True
Eng - Sanitation Services,Missed Green Bin Pickup Case,Close,Service Provided,Hastings-Sunrise,Web,2022-11-09 10:34:16-08:00,2022-11-10,2022,11,Nov,Wednesday,0.0,True
Dbl - Licence Office,Business Licence Request Case,Close,Service Provided,Downtown,Web,2022-11-09 10:46:00-08:00,2022-11-10,2022,11,Nov,Wednesday,0.0,True
Eng - Sanitation Services,Green Bin Request Case,Close,Reviewed And No Action Planned,Arbutus Ridge,Phone,2022-11-09 10:48:53-08:00,2022-11-09,2022,11,Nov,Wednesday,-1.0,True
Eng - Parking Enforcement And Operations,Parking Enforcement Transfer Case,Close,Unknown,,Phone,2022-11-09 10:57:28-08:00,2022-11-09,2022,11,Nov,Wednesday,-1.0,True
Eng - Transportation Design,Transportation Design Project Inquiry Case,Close,Service Provided,,Phone,2022-11-09 11:03:46-08:00,2022-11-15,2022,11,Nov,Wednesday,5.0,True
Eng - Traffic And Electrical Operations And Design,Street Light Out Case,Close,Service Provided,Shaughnessy,Phone,2022-11-09 11:10:39-08:00,2022-11-21,2022,11,Nov,Wednesday,11.0,True
Eng - Streets Operations,Vegetation Encroachment Of City Property Case,Close,Unknown,Kitsilano,Phone,2022-11-09 11:14:00-08:00,2022-11-18,2022,11,Nov,Wednesday,8.0,True
Eng - Sanitation Services,Missed Green Bin Pickup Case,Close,Service Provided,Grandview-Woodland,Web,2022-11-09 11:15:19-08:00,2022-11-10,2022,11,Nov,Wednesday,0.0,True
Dbl - Services Centre,Building And Development Inquiry Case,Close,Service Provided,Renfrew-Collingwood,Web,2022-11-09 11:18:00-08:00,2022-11-09,2022,11,Nov,Wednesday,-1.0,True
Eng - Sanitation Services,Abandoned Recyclables Case,Close,Service Provided,Killarney,Phone,2022-11-09 11:21:19-08:00,2022-11-14,2022,11,Nov,Wednesday,4.0,True
Eng - Streets Operations,Street Construction Concern Case,Close,Service Provided,Mount Pleasant,Phone,2022-11-09 11:24:32-08:00,2022-11-16,2022,11,Nov,Wednesday,6.0,True
Dbl - Services Centre,Building And Development Inquiry Case,Close,Service Provided,,Web,2022-11-09 11:27:00-08:00,2022-11-09,2022,11,Nov,Wednesday,-1.0,True
Pr - Urban Forestry,City And Park Trees Maintenance Case,Close,Further Action Has Been Planned,West Point Grey,Mobile App,2022-11-09 11:28:00-08:00,2022-11-14,2022,11,Nov,Wednesday,4.0,True
Eng - Sanitation Services,Garbage Bin Request Case,Close,Service Provided,Riley Park,Phone,2022-11-09 11:30:58-08:00,2022-11-17,2022,11,Nov,Wednesday,7.0,True
Eng - Sanitation Services,Missed Green Bin Pickup Case,Close,Service Provided,Renfrew-Collingwood,Web,2022-11-09 11:36:59-08:00,2022-11-10,2022,11,Nov,Wednesday,0.0,True
Eng - Waterworks Operations,Water Leak Case,Close,Service Provided,Mount Pleasant,Web,2022-11-09 11:38:55-08:00,2022-12-01,2022,11,Nov,Wednesday,21.0,True
Cmo - Business And Election Services,Mayor And Council Feedback Case,Close,Service Provided,,Web,2022-11-09 11:42:39-08:00,2022-11-16,2022,11,Nov,Wednesday,6.0,True
Eng - Parking Enforcement And Operations,Meter Out Of Order Internal Audit Case,Close,Closed Automatically And Sent To Service Group,Oakridge,Web,2022-11-09 11:49:00-08:00,2022-11-09,2022,11,Nov,Wednesday,-1.0,True
Dbl - Licence Office,Business Licence Request Case,Close,Service Provided,,Web,2022-11-09 11:52:33-08:00,2022-11-10,2022,11,Nov,Wednesday,0.0,True
Dbl - Property Use Inspections,Graffiti Removal - Private Property Case,Close,Assigned To Inspector,West End,Mobile App,2022-11-09 11:54:10-08:00,2022-11-09,2022,11,Nov,Wednesday,-1.0,True
Eng - Sanitation Services,Missed Green Bin Pickup Case,Close,Service Provided,Grandview-Woodland,Web,2022-11-09 12:00:08-08:00,2022-11-10,2022,11,Nov,Wednesday,0.0,True
311 Contact Centre,City Services Feedback Case,Close,Issue Not Found Or Inaccessible,Hastings-Sunrise,Phone,2022-11-09 12:05:58-08:00,2022-11-14,2022,11,Nov,Wednesday,4.0,True
Dbl - Animal Services,Animal Concern Case,Close,Dispatched To Crew,Kitsilano,Web,2022-11-09 12:11:43-08:00,2022-11-09,2022,11,Nov,Wednesday,-1.0,True
Dbl - Property Use Inspections,Private Property Concern Case,Close,Assigned To Inspector,Marpole,Phone,2022-11-09 12:14:51-08:00,2022-11-09,2022,11,Nov,Wednesday,-1.0,True
Eng - Sanitation Services,Street Cleaning And Debris Pick Up Case,Close,Service Provided,Downtown,Mobile App,2022-11-09 12:18:46-08:00,2022-11-10,2022,11,Nov,Wednesday,0.0,True
Dbl - Animal Services,Dog Licence Case,Close,Service Provided,Marpole,Phone,2022-11-09 12:21:50-08:00,2022-11-09,2022,11,Nov,Wednesday,-1.0,True
Eng - Sanitation Services,Missed Green Bin Pickup Case,Close,Service Provided,Strathcona,Web,2022-11-09 12:28:07-08:00,2022-11-10,2022,11,Nov,Wednesday,0.0,True
Dbl - Services Centre,Building And Development Inquiry Case,Close,Service Provided,Fairview,Web,2022-11-09 12:31:00-08:00,2022-11-10,2022,11,Nov,Wednesday,0.0,True
Eng - Waterworks Operations,Water Meter Reading Request Case,Close,Service Provided,Strathcona,Web,2022-11-09 12:35:19-08:00,2022-11-28,2022,11,Nov,Wednesday,18.0,True
Eng - Streets Operations,Street Surface Water Flooding Case,Close,Service Provided,Strathcona,Mobile App,2022-11-09 12:35:49-08:00,2023-01-11,2022,11,Nov,Wednesday,62.0,True
Eng - Sanitation Services,Missed Green Bin Pickup Case,Close,Service Provided,Hastings-Sunrise,Phone,2022-11-09 12:43:00-08:00,2022-11-10,2022,11,Nov,Wednesday,0.0,True
Eng - Sanitation Services,Abandoned Recyclables Case,Close,Issue Not Found Or Inaccessible,Downtown,Mobile App,2022-11-09 12:45:00-08:00,2022-11-15,2022,11,Nov,Wednesday,5.0,True
Dbl - Property Use Inspections,Private Property Concern Case,Close,Assigned To Inspector,Renfrew-Collingwood,Mobile App,2022-11-09 12:46:12-08:00,2022-11-09,2022,11,Nov,Wednesday,-1.0,True
Eng - Sanitation Services,Missed Green Bin Pickup Case,Close,Service Provided,Riley Park,Web,2022-11-09 12:46:27-08:00,2022-11-10,2022,11,Nov,Wednesday,0.0,True
Eng - Sanitation Services,Missed Green Bin Pickup Case,Close,Service Provided,Grandview-Woodland,Phone,2022-11-09 12:57:00-08:00,2022-11-10,2022,11,Nov,Wednesday,0.0,True
311 Contact Centre,General Feedback Case,Close,Service Provided,,Web,2022-11-09 13:03:00-08:00,2023-01-04,2022,11,Nov,Wednesday,55.0,True
Eng - Streets Operations,Sidewalk Repair Case,Close,Unknown,Downtown,Phone,2022-11-09 13:05:20-08:00,2022-11-16,2022,11,Nov,Wednesday,6.0,True
Dbl - Animal Services,Animal Concern Case,Close,Dispatched To Crew,Marpole,Phone,2022-11-09 13:09:48-08:00,2022-11-09,2022,11,Nov,Wednesday,-1.0,True
Pds - Landscape,Zz Old - Private Property Tree Removal Case,Close,Service Provided,West Point Grey,Web,2022-11-09 13:12:08-08:00,2022-11-18,2022,11,Nov,Wednesday,8.0,True
Dbl - Services Centre,Building And Development Inquiry Case,Close,Alternate Service Required,Marpole,Web,2022-11-09 13:19:00-08:00,2022-11-10,2022,11,Nov,Wednesday,0.0,True
Eng - Streets Operations,Street Surface Water Flooding Case,Close,Unknown,Kitsilano,Web,2022-11-09 13:20:05-08:00,2022-11-17,2022,11,Nov,Wednesday,7.0,True
Eng - Sanitation Services,Missed Garbage Bin Pickup Case,Close,Service Provided,Grandview-Woodland,Web,2022-11-09 13:31:40-08:00,2022-11-14,2022,11,Nov,Wednesday,4.0,True
